language,sent_id,sentence,tokens,word_idx,token_id,form,lemma,number
hi,train-s9889,पिछले साल ही एक अदालती मामले में खुलासा हुआ था कि अहमद ने कंप्यूटर चिप की जालसाजी से चार सालों में १५.६ करोड़ पौंड कमाए ।,पिछले साल ही एक अदालती मामले में खुलासा हुआ था कि अहमद ने कंप्यूटर चिप की जालसाजी से चार सालों में १५.६ करोड़ पौंड कमाए ।,5,6,मामले,मामला,Sing
hi,train-s6027,उन्होंने कहा कि भारत बिना भेदभाव के प्रयासों के जरिए परमाणु हथियारों को पूरी तरह नष्ट करने के लिए संयुक्त राष्ट्र में कई बार पहल कर चुका है ।,उन्होंने कहा कि भारत बिना भेदभाव के प्रयासों के जरिए परमाणु हथियारों को पूरी तरह नष्ट करने के लिए संयुक्त राष्ट्र में कई बार पहल कर चुका है ।,23,24,बार,बार,Plur
hi,train-s2211,स्वामी हरगोविंद ने कहा कि ब्रजवासियों और श्रीजी - ठाकुरजी (राधा -JOIN कृष्ण) की कृपा और आर्शीवाद से उन्हें यह सम्मान मिला है.,स्वामी हरगोविंद ने कहा कि ब्रजवासियों और श्रीजी - ठाकुरजी ( राधा -JOIN कृष्ण ) की कृपा और आर्शीवाद से उन्हें यह सम्मान मिला है .,18,19,आर्शीवाद,आर्शीवाद,Sing
hi,train-s10703,अमेरिकी नेतृत्व वाली गठबंधन सेना द्वारा सोमवार को इराक की अंतरिम सरकार को सत्ता हस्तांतरित करने के बाद इराक की नई सरकार के सदस्यों ने एक समारोह में अपने हाथों में कुरान लेकर पद व गोपनीयता की शपथ ली ।,अमेरिकी नेतृत्व वाली गठबंधन सेना द्वारा सोमवार को इराक की अंतरिम सरकार को सत्ता हस्तांतरित करने के बाद इराक की नई सरकार के सदस्यों ने एक समारोह में अपने हाथों में कुरान लेकर पद व गोपनीयता की शपथ ली ।,29,30,हाथों,हाथ,Plur
hi,train-s7914,शाही ने कहा कि पूंजी के निवेश से ग्रामीण विद्युतीकरण की गति में तेजी लाए जाने की जरूरत है ।,शाही ने कहा कि पूंजी के निवेश से ग्रामीण विद्युतीकरण की गति में तेजी लाए जाने की जरूरत है ।,17,18,जरूरत,जरूरत,Sing
hi,train-s7773,अब हवाओं के दोबारा बदलते रुख से मानसून की वापसी अगले सप्ताह तक होने की संभावना बन रही है ।,अब हवाओं के दोबारा बदलते रुख से मानसून की वापसी अगले सप्ताह तक होने की संभावना बन रही है ।,11,12,सप्ताह,सप्ताह,Sing
hi,train-s9883,हिंदुजा बंधुओं श्रीचंद और गोपीचंद ने ३.६ अरब पौंड की संपत्ति के साथ ब्रिटेन के अमीरों में सातवां स्थान बनाया है ।,हिंदुजा बंधुओं श्रीचंद और गोपीचंद ने ३.६ अरब पौंड की संपत्ति के साथ ब्रिटेन के अमीरों में सातवां स्थान बनाया है ।,1,2,बंधुओं,बंधु,Plur
hi,train-s5638,मालूम हो कि पिछले मंगलवार को गुरु गोबिंद सिंह के जन्मदिन पर निकले जुलूस के कारण राजधानी खासकर कनॉट प्लेस की यातायात व्यवस्था बुरी तरह चरमरा गई थी ।,मालूम हो कि पिछले मंगलवार को गुरु गोबिंद सिंह के जन्मदिन पर निकले जुलूस के कारण राजधानी खासकर कनॉट प्लेस की यातायात व्यवस्था बुरी तरह चरमरा गई थी ।,22,23,व्यवस्था,व्यवस्था,Sing
hi,train-s7748,राजग ने आगामी विधानसभा चुनावों के मद्देनजर सभी विवादों को दरकिनार कर गठबंधन को और अधिक मजबूत करने का प्रस्ताव पारित किया ।,राजग ने आगामी विधानसभा चुनावों के मद्देनजर सभी विवादों को दरकिनार कर गठबंधन को और अधिक मजबूत करने का प्रस्ताव पारित किया ।,8,9,विवादों,विवाद,Plur
hi,train-s2440,इसके लिए शीघ्र ही दोनों खुफिया एजेंसियों के विशेषज्ञ आपसी सहमति से एक तिथि तय करके बैठेंगे.,इसके लिए शीघ्र ही दोनों खुफिया एजेंसियों के विशेषज्ञ आपसी सहमति से एक तिथि तय करके बैठेंगे .,8,9,विशेषज्ञ,विशेषज्ञ,Plur
hi,train-s2090,राष्ट्रपति ए. पी. जे. अब्दुल कलाम ने पटना विश्वविद्यालय (पीयू) से विज्ञान की मानद डिग्री डीएससी स्वीकार करने से इनकार कर दिया है.,राष्ट्रपति ए. पी. जे. अब्दुल कलाम ने पटना विश्वविद्यालय ( पीयू ) से विज्ञान की मानद डिग्री डीएससी स्वीकार करने से इनकार कर दिया है .,15,16,मानद,मानद,Sing
hi,train-s9461,उन्होंने अमेरिकी कांग्रेस में हुई चर्चा के दौरान सांसद टॉम लेंटाज के उस वक्तव्य का भी हवाला दिया जिसमें कहा गया था कि अंतर्राष्ट्रीय परमाणु ऊर्जा एजेंसी में वोटिंग के सवाल पर भारत को दो - टूक शब्दों में बता दिया जाए कि वह या तो अमेरिका का साथ दे या फिर विरोधी पाले में खड़ा रहे ।,उन्होंने अमेरिकी कांग्रेस में हुई चर्चा के दौरान सांसद टॉम लेंटाज के उस वक्तव्य का भी हवाला दिया जिसमें कहा गया था कि अंतर्राष्ट्रीय परमाणु ऊर्जा एजेंसी में वोटिंग के सवाल पर भारत को दो - टूक शब्दों में बता दिया जाए कि वह या तो अमेरिका का साथ दे या फिर विरोधी पाले में खड़ा रहे ।,37,38,शब्दों,शब्द,Plur
hi,train-s6713,बिहार व झारखंड के नतीजों के लिए मुस्लिम नेतृत्व सेकुलर पार्टियों को जिम्मेदार मानता है ।,बिहार व झारखंड के नतीजों के लिए मुस्लिम नेतृत्व सेकुलर पार्टियों को जिम्मेदार मानता है ।,8,9,नेतृत्व,नेतृत्व,Sing
hi,train-s10419,केंद्र सरकार की चिंता इससे भी बढ़ी है कि नक्सली यहां नई - नई वारदातों को अंजाम देने के साथ ही नेपाल के माओवादियों के साथ पेंगें बढ़ा रहे हैं ।,केंद्र सरकार की चिंता इससे भी बढ़ी है कि नक्सली यहां नई - नई वारदातों को अंजाम देने के साथ ही नेपाल के माओवादियों के साथ पेंगें बढ़ा रहे हैं ।,9,10,नक्सली,नक्सली,Plur
hi,train-s5020,"केंद्र सरकार ने सार्वजनिक क्षेत्र के उपक्रमों ""पीएसयू"" के कर्मचारियों के मूल वेतन में महंगाई भत्ते (डीए) का विलय करने का प्रस्ताव रखा है ।","केंद्र सरकार ने सार्वजनिक क्षेत्र के उपक्रमों "" पीएसयू "" के कर्मचारियों के मूल वेतन में महंगाई भत्ते ( डीए ) का विलय करने का प्रस्ताव रखा है ।",6,7,उपक्रमों,उपक्रम,Plur
hi,train-s1756,आरोप है कि एक सप्ताह पहले सजा पाने वाले छात्रों ने अपने जूनियर छात्रों को निर्वस्त्र करवाते हुए उन्हें तेल से नहलाया था ।,आरोप है कि एक सप्ताह पहले सजा पाने वाले छात्रों ने अपने जूनियर छात्रों को निर्वस्त्र करवाते हुए उन्हें तेल से नहलाया था ।,9,10,छात्रों,छात्र,Plur
hi,train-s10519,दिल्ली हाईकोर्ट ने भाग कर शादी करने के मामले में अवयस्क पतियों के खिलाफ कार्रवाई करने में अपनी अक्षमता व्यक्त की थी ।,दिल्ली हाईकोर्ट ने भाग कर शादी करने के मामले में अवयस्क पतियों के खिलाफ कार्रवाई करने में अपनी अक्षमता व्यक्त की थी ।,11,12,पतियों,पति,Plur
hi,train-s9815,दौरे के लगभग दो महीने के बाद केंद्रीय वन्य प्राधिकरण की टीम ने नालागढ़ में इस प्रजनन केंद्र को बनाने की मंजूरी दे दी है ।,दौरे के लगभग दो महीने के बाद केंद्रीय वन्य प्राधिकरण की टीम ने नालागढ़ में इस प्रजनन केंद्र को बनाने की मंजूरी दे दी है ।,11,12,टीम,टीम,Sing
hi,train-s6537,पाठ्य पुस्तक के अंश में आरएसएस को महात्मा गांधी की हत्या का जिम्मेदार बताया गया है ।,पाठ्य पुस्तक के अंश में आरएसएस को महात्मा गांधी की हत्या का जिम्मेदार बताया गया है ।,10,11,हत्या,हत्या,Sing
hi,train-s8154,बसपा ने यह सीट सपा से छीनी है ।,बसपा ने यह सीट सपा से छीनी है ।,3,4,सीट,सीट,Sing
hi,train-s7821,यह वर्ष २००४ में वहां पहुंचा और सतह से धूलकणों को इकट्ठा कर कैप्सूल में डाल दिया जो रविवार को सकुशल धरती पर पहुंच गया ।,यह वर्ष २००४ में वहां पहुंचा और सतह से धूलकणों को इकट्ठा कर कैप्सूल में डाल दिया जो रविवार को सकुशल धरती पर पहुंच गया ।,9,10,धूलकणों,धूलकण,Plur
hi,train-s5197,अपहर्ता उनके परिवार वालों के लिए क्षतिपूर्ति चाहते हैं ।,अपहर्ता उनके परिवार वालों के लिए क्षतिपूर्ति चाहते हैं ।,6,7,क्षतिपूर्ति,क्षतिपूर्ति,Sing
hi,train-s10451,अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू. बुश की आगामी भारत यात्रा से दोनों देशों के बीच कृषि क्षेत्र में सहयोग बढ़ेगा ।,अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू. बुश की आगामी भारत यात्रा से दोनों देशों के बीच कृषि क्षेत्र में सहयोग बढ़ेगा ।,8,9,यात्रा,यात्रा,Sing
hi,train-s12855,"अगर जीएसआई का आकंलन सही है तो २०८० में पूर्वी तटों की चट्टानों से सुनामी लहरें दोबारा टकरा सकती हैं, तो उन्होंने कहा कि यह बात बंगाल व उड़ीसा दोनों के लिए संभव है ।","अगर जीएसआई का आकंलन सही है तो २०८० में पूर्वी तटों की चट्टानों से सुनामी लहरें दोबारा टकरा सकती हैं , तो उन्होंने कहा कि यह बात बंगाल व उड़ीसा दोनों के लिए संभव है ।",10,11,तटों,तट,Plur
hi,train-s7004,"चिंतित माताएं और टीचर 'अजनबियों से बात मत करो, किसी से चॉकलेट मत लो' जैसी अनेक घुट्टियां पिलाती हैं ।","चिंतित माताएं और टीचर ' अजनबियों से बात मत करो , किसी से चॉकलेट मत लो ' जैसी अनेक घुट्टियां पिलाती हैं ।",19,20,घुट्टियां,घुट्टी,Plur
hi,train-s9593,सोनिया के साथ उनके राजनीतिक सचिव अहमद पटेल और पार्टी के अन्य नेता भी शामिल थे ।,सोनिया के साथ उनके राजनीतिक सचिव अहमद पटेल और पार्टी के अन्य नेता भी शामिल थे ।,12,13,नेता,नेता,Plur
hi,train-s9397,अनेक लोग स्कीइंग कौशल को निखारने की खातिर लगातार अभ्यास में जुटे हुए हैं ।,अनेक लोग स्कीइंग कौशल को निखारने की खातिर लगातार अभ्यास में जुटे हुए हैं ।,1,2,लोग,लोग,Plur
hi,train-s11670,प्रधानमंत्री ने सभी राजनीतिक दलों से इस बात की अपील की है कि वे देश की बढ़ती ऊर्जा जरूरतों को पूरा करने के उपायों व साधनों के बारे में सोचें ।,प्रधानमंत्री ने सभी राजनीतिक दलों से इस बात की अपील की है कि वे देश की बढ़ती ऊर्जा जरूरतों को पूरा करने के उपायों व साधनों के बारे में सोचें ।,9,10,अपील,अपील,Sing
hi,train-s11490,"अधिकारियों ने बताया कि २,६०० किमी लंबी पाइपलाइन के जरिए गैस की आपूर्ति वर्ष २०१० तक शुरू करने का लक्ष्य निर्धारित किया गया है ।","अधिकारियों ने बताया कि २,६०० किमी लंबी पाइपलाइन के जरिए गैस की आपूर्ति वर्ष २०१० तक शुरू करने का लक्ष्य निर्धारित किया गया है ।",12,13,आपूर्ति,आपूर्ति,Sing
hi,train-s8963,आगामी चुनाव में ज्यादा सीट जीतकर लालू - राबड़ी को मात देने के लिए कार्य योजनाओं पर चर्चा हुई ।,आगामी चुनाव में ज्यादा सीट जीतकर लालू - राबड़ी को मात देने के लिए कार्य योजनाओं पर चर्चा हुई ।,15,16,योजनाओं,योजना,Plur
hi,train-s11541,"ऐसे में पिछले वर्ष सितंबर माह में भी पंजाब के मलेरकोटला जिले से एक पाकिस्तानी व्यक्ति को काबू किया गया था, जिससे छावनी सैन्य क्षेत्र की कई महत्वपूर्ण जानकारी बरामद हुई थी ।","ऐसे में पिछले वर्ष सितंबर माह में भी पंजाब के मलेरकोटला जिले से एक पाकिस्तानी व्यक्ति को काबू किया गया था , जिससे छावनी सैन्य क्षेत्र की कई महत्वपूर्ण जानकारी बरामद हुई थी ।",15,16,व्यक्ति,व्यक्ति,Sing
hi,train-s5886,बाद में वे जानी - मानी अंतर्राष्ट्रीय हस्तियों की भी मूर्तियां बनाएंगे ।,बाद में वे जानी - मानी अंतर्राष्ट्रीय हस्तियों की भी मूर्तियां बनाएंगे ।,10,11,मूर्तियां,मूर्ति,Plur
hi,train-s9714,बिहार में होने जा रहे विधानसभा चुनाव के पहले चरण में यूपीए के तीन सहयोगी 64 सीटों में से 57 पर एक दूसरे का सामना करेंगे ।,बिहार में होने जा रहे विधानसभा चुनाव के पहले चरण में यूपीए के तीन सहयोगी 64 सीटों में से 57 पर एक दूसरे का सामना करेंगे ।,16,17,सीटों,सीट,Plur
