language,sent_id,sentence,tokens,word_idx,token_id,form,lemma,number
es,es-train-011-s499,"Tras su muerte, su labor misionera influyó en el desarrollo de la Compañía de María, convertida en la congregación de los Padres Montfortinos, y en la Congrégation enseignante des Frères du Saint - Esprit, posteriormente conocida como Hermanos de San Gabriel.","Tras su muerte , su labor misionera influyó en el desarrollo de la Compañía de María , convertida en la congregación de los Padres Montfortinos , y en la Congrégation enseignante des Frères du Saint - Esprit , posteriormente conocida como Hermanos de San Gabriel .",10,11,desarrollo,desarrollo,Sing
es,es-train-018-s290,"Su abuela, fan de la gimnasia rítmica y patinadora artística introdujo a la pequeña Kanaeva de 6 años en el mundo de la gimnasia rítmica.","Su abuela , fan de la gimnasia rítmica y patinadora artística introdujo a la pequeña Kanaeva de 6 años en el mundo de la gimnasia rítmica .",3,4,fan,fan,Plur
es,es-train-002-s21,"Las problemáticas contemporáneas fundadas en la sostenibilidad (escasez de recursos naturales como el petróleo, el calentamiento global y la calidad de vida en las ciudades) ha hecho que esta disciplina cambie hacia una visión multidisciplinaria del transporte, donde el transporte público y el transporte en modos activos (bicicletas y peatones) ha cobrado una inmensa importancia.","Las problemáticas contemporáneas fundadas en la sostenibilidad ( escasez de recursos naturales como el petróleo , el calentamiento global y la calidad de vida en las ciudades ) ha hecho que esta disciplina cambie hacia una visión multidisciplinaria de el transporte , donde el transporte público y el transporte en modos activos ( bicicletas y peatones ) ha cobrado una inmensa importancia .",14,15,petróleo,petróleo,Sing
es,es-train-003-s306,"Este proceso de soldadura ofrece enormes ventajas ya sea en cuanto a los materiales a unir (puede unir varios tipos de metales), en su alta fiabilidad, en su bajo coste, en su relación resistencia / fiabilidad, incluso puede unir materiales de fundición distintos.","Este proceso de soldadura ofrece enormes ventajas ya sea en cuanto a los materiales a unir ( puede unir varios tipos de metales ) , en su alta fiabilidad , en su bajo coste , en su relación resistencia / fiabilidad , incluso puede unir materiales de fundición distintos .",45,46,materiales,material,Plur
es,es-train-001-s438,"Usaba un raticida llamado «grasa de ratas» - en alemán, «Mäusebutter», muy común en la época -, que consistía en pequeñas hojuelas de arsénico mezcladas en grasa animal.","Usaba un raticida llamado « grasa de ratas » - en alemán , « Mäusebutter » , muy común en la época - , que consistía en pequeñas hojuelas de arsénico mezcladas en grasa animal .",33,34,grasa,grasa,Sing
es,es-train-015-s485,Lleva sobre la cabeza la tradicional pelu - ca y luce barba.,Lleva sobre la cabeza la tradicional pelu - ca y luce barba .,11,12,barba,barba,Sing
es,es-train-003-s404,Enfrentamientos ocasionales entre manifestantes kurdos y las fuerzas gubernamentales se han producido desde entonces.,Enfrentamientos ocasionales entre manifestantes kurdos y las fuerzas gubernamentales se han producido desde entonces .,0,1,Enfrentamientos,enfrentamientos,Plur
es,es-train-008-s286,El cocinero sale a tomar nota y te cuenta cómo hace los platos.,El cocinero sale a tomar nota y te cuenta cómo hace los platos .,5,6,nota,nota,Sing
es,es-train-025-s211,"La dhimma o protección no existe en los modernos Estados islámicos, aunque en algunos de ellos los miembros de minorías religiosas siguen denunciando una posición social inferior.","La dhimma o protección no existe en los modernos Estados islámicos , aunque en algunos de ellos los miembros de minorías religiosas siguen denunciando una posición social inferior .",18,19,miembros,miembro,Plur
es,es-train-028-s419,Realizó sus estudios en Rusia e Israel.,Realizó sus estudios en Rusia e Israel .,2,3,estudios,estudio,Plur
es,es-train-019-s281,"Recherswil es una comuna suiza del cantón de Soleura, situada en el distrito de Wasseramt.","Recherswil es una comuna suiza de el cantón de Soleura , situada en el distrito de Wasseramt .",14,15,distrito,distrito,Sing
es,es-train-002-s269,"Haciendo hincapié, según sus propias palabras, en ""su falta de profesionalidad y amiguismos"", El Meswy ha expuesto a dicha revista por sus constantes difamaciones y calumnias contra él.","Haciendo hincapié , según sus propias palabras , en "" su falta de profesionalidad y amiguismos "" , El Meswy ha expuesto a dicha revista por sus constantes difamaciones y calumnias contra él .",15,16,amiguismos,amiguismo,Plur
es,es-train-004-s293,"Pedimos información al Consejo Directivo del IESS, que nos expliquen la fórmula de cálculo, de lo contrario habrá que presentar una acción ante el Tribunal Constitucional "", señaló.","Pedimos información a el Consejo Directivo de el IESS , que nos expliquen la fórmula de cálculo , de lo contrario habrá que presentar una acción ante el Tribunal Constitucional "" , señaló .",4,5,Consejo,consejo,Sing
