language,sent_id,sentence,tokens,word_idx,token_id,form,lemma,number
ar,ummah.20040726.0056:p7u1,وقال إن تكنولوجيا المعلومات تعتبر مجالاً واعداً للتعاون بين مصر وكوريا التي كرست كل خبراتها ومقوماتها العلمية والإبداعية لتكون أحد قيادات العالم في هذا المجال، مشيراً إلى أن مصر باعتبارها إحدى الاقتصاديات البازغة لديها فرصة الاستفادة من التجربة الكورية في مجال تنمية صناعة تكنولوجيا المعلومات، وأن كوريا على استعداد تام لنقل خبراتها لمصر لتحقيق المصلحة المشتركة للبلدين.,و قال إن تكنولوجيا المعلومات تعتبر مجالاً واعداً ل التعاون بين مصر و كوريا التي كرست كل خبرات ها و مقومات ها العلمية و الإبداعية ل تكون أحد قيادات العالم في هذا المجال ، مشيراً إلى أن مصر ب اعتبار ها إحدى الاقتصاديات البازغة لدي ها فرصة الاستفادة من التجربة الكورية في مجال تنمية صناعة تكنولوجيا المعلومات ، و أن كوريا على استعداد تام ل نقل خبرات ها ل مصر ل تحقيق المصلحة المشتركة ل البلدين .,49,50,التجربة,تَجرِبَة,Sing
ar,assabah.20040930.0016:p1u1,بسبـــــب ممارســـــات القــــــوات الأمريكيــــــة:,ب سبب ممارســـــات القــــــوات الأمريكيــــــة :,3,4,القــــــوات,قُوَّة,Plur
ar,ummah.20040809.0081:p5u1,وقالت إدارة الإعلام في المكتبة إنه تم سحب الكتاب من خزانة المعرض باعتبار أن عرضه يمثل اختياراً غير صائب، ويفتقر للذوق العام.,و قالت إدارة الإعلام في المكتبة إن ه تم سحب الكتاب من خزانة المعرض ب اعتبار أن عرض ه يمثل اختياراً غير صائب ، و يفتقر ل الذوق العام .,27,28,الذوق,ذَوق,Sing
ar,ummah.20040726.0022:p7u1,** البنية التشريعية ويلفت زكي إلى أنه من الضروري لنجاح هذا التوجه ألا تكتفي الحكومة بالبنية التشريعية وحدها والحوافز المقدمة على هذه الخلفية وإنما عليها أن تولي اهتماماً مماثلاً لبيئة الاستثمار في السوق المحلية بما تنطوي عليه من عوامل مثل استقرار أسعار الصرف ومعدل المخاطر وفرص النمو الرأسمالي.,* * البنية التشريعية و يلفت زكي إلى أن ه من الضروري ل نجاح هذا التوجه أن لا تكتفي الحكومة ب البنية التشريعية وحد ها و الحوافز المقدمة على هذه الخلفية و إنما علي ها أن تولي اهتماماً مماثلاً ل بيئة الاستثمار في السوق المحلية ب ما تنطوي علي ه من عوامل مثل استقرار أسعار الصرف و معدل المخاطر و فرص النمو الرأسمالي .,51,52,عوامل,عَامِل,Plur
ar,ummah.20040906.0026:p4u1,"وقال الدكتور محمد الغمراوي ـ رئيس هيئة الاستثمار ـ إن هذه المنطقة بداية لإنشاء خمس مناطق حرة جديدة بمدن العاشر من رمضان والسادات وبدر لخدمة المستثمرين والعاملين وفق نظام ""دروباك"" بهدف تيسير حصولهم على المواد الخام وتشجيعهم على زيادة الإنتاج المخصص للتصدير.","و قال الدكتور محمد الغمراوي ـ رئيس هيئة الاستثمار ـ إن هذه المنطقة بداية ل إنشاء خمس مناطق حرة جديدة ب مدن العاشر من رمضان و السادات و بدر ل خدمة المستثمرين و العاملين وفق نظام "" دروباك "" ب هدف تيسير حصول هم على المواد الخام و تشجيع هم على زيادة الإنتاج المخصص ل التصدير .",40,41,هدف,هَدَف,Sing
ar,ummah.20040531.0024:p2u1,"على رغم تأكيدات رسمية مصرية لخلو البلاد من مرض حمى الملاريا المخية"" (التهاب السحايا) إلا أن الفزع ساد المدن والمحافظات المصرية يوم 29/10 الحالي بعد إعلان وفاة اثنين أصيبا بالمرض من أعضاء البعثة المصرية التي شاركت في بطولة الألعاب الأفريقية في نيجيريا أخيرا، واحتجاز اثنين آخرين أثناء رحلة العودة في إحدى مستشفيات اليونان للاشتباه في إصابتهما بالمرض نفسه.","على رغم تأكيدات رسمية مصرية ل خلو البلاد من مرض حمى الملاريا المخية "" ( التهاب السحايا ) إلا أن الفزع ساد المدن و المحافظات المصرية يوم 29 / 10 الحالي بعد إعلان وفاة اثنين أصيبا ب المرض من أعضاء البعثة المصرية التي شاركت في بطولة الألعاب الأفريقية في نيجيريا أخيرا ، و احتجاز اثنين آخرين أثناء رحلة العودة في إحدى مستشفيات اليونان ل الاشتباه في إصابة هما ب المرض نفس ه .",20,21,الفزع,فَزَع,Sing
ar,assabah.20041022.0003:p14u1,اذ ستكون كل بلدية مطالبة بانجاز مسلك صحي على الاقل لمواطنيها يمارسون نشاطهم البدني اليومي من ركض او مشي او حركات رياضية على غرار ما يتوفر في البلدان المتقدمة اضافة لتطوير السكن بما يسمح بظروف اقامة طيبة.,اذ س تكون كل بلدية مطالبة ب إنجاز مسلك صحي على الاقل ل مواطني ها يمارسون نشاط هم البدني اليومي من ركض او مشي او حركات رياضية على غرار ما يتوفر في البلدان المتقدمة اضافة ل تطوير السكن ب ما يسمح ب ظروف اقامة طيبة .,32,33,البلدان,بَلَد,Plur
ar,xinhua.20030501.0027:p3u1,أعلنت مصادر عسكرية أمريكية اليوم /الأربعاء/ أنه قد تم العثور على عملات اجنبية تصل قيمتها الى ما يقرب من 200 مليون دولار فى أحد أحياء العاصمة العراقية بغداد . وذكر تليفزيون / بى بى سى/ البريطانى أن القيادة المركزية الأمريكية أكدت أن القوات عثرت على 100 مليون و90 مليون يورو فى 31 حاوية صغيرة . وأضافت القيادة أن الأموال ارسلت جوا من مطار بغداد الى مكان أمن خارج العراق لاغراض الاحصاء وفى النهاية سيتم اعادتها الى العراق للمساعدة فى عمليات اعمار البلاد .,أعلنت مصادر عسكرية أمريكية اليوم / الأربعاء / أن ه قد تم العثور على عملات اجنبية تصل قيمة ها الى ما يقرب من 200 مليون دولار فى أحد أحياء العاصمة العراقية بغداد . و ذكر تليفزيون / بى بى سى / البريطانى أن القيادة المركزية الأمريكية أكدت أن القوات عثرت على 100 مليون و 90 مليون يورو فى 31 حاوية صغيرة . و أضافت القيادة أن الأموال ارسلت جوا من مطار بغداد الى مكان أمن خارج العراق ل أغراض الاحصاء و في النهاية س يتم إعادة ها الى العراق ل المساعدة فى عمليات اعمار البلاد .,90,91,المساعدة,مُسَاعَدَة,Sing
ar,ummah.20040726.0026:p4u1,وأشار إلى أن الأوضاع المحلية غير المشجعة في سوق المقاولات والعقارات إضافة إلى أهمية التواجد في الأسواق الخارجية والتعاطي مع التحديات المتوقعة لتحرير تجارة الخدمات ومنها المقاولات حتمت على شركات المقاولات المصرية ضرورة طرق أبواب الأسواق الخارجية خاصة في دول مجلس التعاون الخليجي والدول العربية والأفريقية.,و أشار إلى أن الأوضاع المحلية غير المشجعة في سوق المقاولات و العقارات إضافة إلى أهمية التواجد في الأسواق الخارجية و التعاطي مع التحديات المتوقعة ل تحرير تجارة الخدمات و من ها المقاولات حتمت على شركات المقاولات المصرية ضرورة طرق أبواب الأسواق الخارجية خاصة في دول مجلس التعاون الخليجي و الدول العربية و الأفريقية .,18,19,الأسواق,سُوق,Plur
ar,ummah.20040531.0025:p3u3,بما في ذلك رئيس الحكومة وتخفيض أعداد الحراسة الخاصة أيضاً على مقار إقامة والوزراء وأعضاء الحكومة وكبار المسئولين.,ب ما في ذلك رئيس الحكومة و تخفيض أعداد الحراسة الخاصة أيضاً على مقار إقامة و الوزراء و أعضاء الحكومة و كبار المسئولين .,13,14,مقار,مَقَرّ,Plur
