language,sent_id,sentence,tokens,word_idx,token_id,form,lemma,number
en,reviews-280844-0006,I worked with Andrew for 2 months and did acupuncture and herbs.,I worked with Andrew for 2 months and did acupuncture and herbs .,9,10,acupuncture,acupuncture,Sing
en,email-enronsent02_01-0014,that OBSF values within the extended trial balance may be misstated due to data issues ( above and beyond existing conversations with AA on model simplifications),that OBSF values within the extended trial balance may be misstated due to data issues ( above and beyond existing conversations with AA on model simplifications ),14,15,issues,issue,Plur
en,newsgroup-groups.google.com_alt.animals_0e65f540816d780c_ENG_20041116_124800-0026,"According to Parmesan's earlier studies, one extinction event, for instance, was triggered when a checkerspot population migrated north prematurely, relying on a warming temperature signal, then was caught in a severe snowstorm in its northern habitat.","According to Parmesan 's earlier studies , one extinction event , for instance , was triggered when a checkerspot population migrated north prematurely , relying on a warming temperature signal , then was caught in a severe snowstorm in its northern habitat .",29,30,signal,signal,Sing
en,reviews-376320-0008,I completely enjoyed my whole check in experience and was impressed with the friendliness and professionalism of the staff as well as the accommodations themselves.,I completely enjoyed my whole check in experience and was impressed with the friendliness and professionalism of the staff as well as the accommodations themselves .,18,19,staff,staff,Plur
en,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0063,"It is widely acknowledged that the Pakistani ISI has nurtured a number of extremist Islamist groups, such as the Harkat-ul-Jehad-al-Islami, in the port city of Chittagong, and put a number of secessionist rebels from India's northeast in touch with this terrorist network.","It is widely acknowledged that the Pakistani ISI has nurtured a number of extremist Islamist groups , such as the Harkat - ul - Jehad - al - Islami , in the port city of Chittagong , and put a number of secessionist rebels from India 's northeast in touch with this terrorist network .",32,33,port,port,Sing
en,answers-20111107194625AAAUBXm_ans-0015,"air dry clay works on armatures , the clay has a minor shrink percent, so you can leave the wire armature inside, paint with acrylic paint","air dry clay works on armatures , the clay has a minor shrink percent , so you can leave the wire armature inside , paint with acrylic paint",20,21,wire,wire,Sing
en,email-enronsent30_01-0062,"It will analyze emerging proposals for effective transmission planning and pricing, including market-based pricing alternatives to FERC's traditional pricing methods.","It will analyze emerging proposals for effective transmission planning and pricing , including market - based pricing alternatives to FERC 's traditional pricing methods .",17,18,alternatives,alternative,Plur
en,reviews-135010-0001,The New Italian Kid on the Block,The New Italian Kid on the Block,3,4,Kid,kid,Sing
en,email-enronsent13_01-0096,"After you have had the chance to review the attached, please send me a marked-up draft and we can discuss our concerns from there.","After you have had the chance to review the attached , please send me a marked - up draft and we can discuss our concerns from there .",24,25,concerns,concern,Plur
en,reviews-275919-0008,"Usage of product barcodes and smooth maintenance of inventory with proper recording of transactions like sale, purchase and returns was never easy before.","Usage of product barcodes and smooth maintenance of inventory with proper recording of transactions like sale , purchase and returns was never easy before .",19,20,returns,return,Plur
en,email-enronsent11_01-0063,I sure like his style of writing.,I sure like his style of writing .,6,7,writing,writing,Sing
en,weblog-blogspot.com_alaindewitt_20040929103700_ENG_20040929_103700-0063,A 1970 evaluation said Bush “clearly stands out as a top notch fighter interceptor pilot” and was “a natural leader whom his contemporaries look to for leadership.”,A 1970 evaluation said Bush “ clearly stands out as a top notch fighter interceptor pilot ” and was “ a natural leader whom his contemporaries look to for leadership . ”,25,26,contemporaries,contemporary,Plur
en,email-enronsent14_01-0061,I am asking respectfully if you could give me a recommendation or referral to ETS technology department.,I am asking respectfully if you could give me a recommendation or referral to ETS technology department .,10,11,recommendation,recommendation,Sing
en,reviews-217359-0007,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?,8,9,occasions,occasion,Plur
en,email-enronsent44_01-0051,We'll hook you guys in by videoconference.,We 'll hook you guys in by videoconference .,4,5,guys,guy,Plur
en,reviews-085980-0004,The limited menu had few appetizing options and the NYE special packages were way overpriced.,The limited menu had few appetizing options and the NYE special packages were way overpriced .,6,7,options,option,Plur
en,email-enronsent36_02-0012,"We too, are open to suggestion as the Global and Enron relationships are very important and a high priority to us.","We too , are open to suggestion as the Global and Enron relationships are very important and a high priority to us .",12,13,relationships,relationship,Plur
en,newsgroup-groups.google.com_emails_ec0a1064de05e74b_ENG_20040929_023800-0039,They kept the name Oracle and created the RDBMS engine.,They kept the name Oracle and created the RDBMS engine .,9,10,engine,engine,Sing
en,email-enronsent43_01-0120,"Since the bankruptcy filing, vendors have been very reluctant to ship material prior to it being prepaid (Daniels, Fisher, Rosemont, other).","Since the bankruptcy filing , vendors have been very reluctant to ship material prior to it being prepaid ( Daniels , Fisher , Rosemont , other ) .",3,4,filing,filing,Sing
en,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0006,"Below I pasted the email text, and it has a link to a website that automatically plays this song the author of the email created.","Below I pasted the email text , and it has a link to a website that automatically plays this song the author of the email created .",4,5,email,email,Sing
en,answers-20111104175256AAL21Ha_ans-0013,Many illegals were not counted in the population until the mid-80s.,Many illegals were not counted in the population until the mid-80s .,1,2,illegals,illegal,Plur
en,email-enronsent44_01-0054,Thanks!!,Thanks !!,0,1,Thanks,thanks,Sing
en,reviews-221664-0005,Those things ended up being a windsheild washer fluid tank (1 screw) and the air filter canister (4 spring clips).,Those things ended up being a windsheild washer fluid tank ( 1 screw ) and the air filter canister ( 4 spring clips ) .,18,19,canister,canister,Sing
en,email-enronsent00_01-0034,Orders and/or instructions transmitted by e-mail will not be accepted by PaineWebber and PaineWebber will not be responsible for carrying out such orders and/or instructions.,Orders and / or instructions transmitted by e-mail will not be accepted by PaineWebber and PaineWebber will not be responsible for carrying out such orders and / or instructions .,4,5,instructions,instruction,Plur
en,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0146,"This circle operates mostly through mosques, madrasas and other religious establishments but also through inciting electronic and printed media.","This circle operates mostly through mosques , madrasas and other religious establishments but also through inciting electronic and printed media .",7,8,madrasas,madrasa,Plur
en,reviews-141103-0003,What you get is a $13/day charge to access the internet through a slow 512/512kb/s that you can only use to check email etc (Read: No downloading).,What you get is a $ 13 / day charge to access the internet through a slow 512 / 512 kb / s that you can only use to check email etc ( Read : No downloading ) .,31,32,etc,etc.,Plur
en,answers-20111108105520AA73Axw_ans-0012,"Worms (and Daphnia) are also rich in Lipids, substances important in forming eggs and growing young.","Worms ( and Daphnia ) are also rich in Lipids , substances important in forming eggs and growing young .",18,19,young,young,Plur
en,email-enronsent01_02-0043,"Since you asked for input, I hope that you don't mind that I gave you some.","Since you asked for input , I hope that you do n't mind that I gave you some .",4,5,input,input,Sing
en,email-enronsent06_01-0072,<<ld2d-#69366-1.DOC>> <<ld2d-#69345-1.DOC>> ? <<ld2d-#69397-1.DOC>> <<ld2d-#69396-1.DOC>> <<ld2d-#69377-1.XLS>> <<ld2d-#69381-1.DOC>> <<ld2d-#69366-1.DOC>> <<ld2d-#69336-1.XLS>> <<Primary Rights 4-12 .doc>> <<ld2d-#69334-1.DOC>> <<ld2d-#69345-1.DOC>>,<< ld2d-#69366-1.DOC >> << ld2d-#69345-1.DOC >> ? << ld2d-#69397-1.DOC >> << ld2d-#69396-1.DOC >> << ld2d-#69377-1.XLS >> << ld2d-#69381-1.DOC >> << ld2d-#69366-1.DOC >> << ld2d-#69336-1.XLS >> << Primary Rights 4-12 .doc >> << ld2d-#69334-1.DOC >> << ld2d-#69345-1.DOC >>,35,36,ld2d-#69345-1.DOC,ld2d-#69345-1.doc,Sing
en,email-enronsent08_02-0050,"Thanx,","Thanx ,",0,1,Thanx,thank,Plur
en,email-enronsent00_01-0030,Notice Regarding Entry of Orders and Instructions: Please do not transmit orders and/or instructions regarding your PaineWebber account(s) by e-mail.,Notice Regarding Entry of Orders and Instructions : Please do not transmit orders and / or instructions regarding your PaineWebber account ( s ) by e-mail .,2,3,Entry,entry,Sing
en,email-enronsent15_01-0004,It was good having the girls down.,It was good having the girls down .,5,6,girls,girl,Plur
en,email-enronsent13_01-0050,"These three little ones don't realize how lucky they are to have such a nice Dad, but I'm sure they'll find out soon.","These three little ones do n't realize how lucky they are to have such a nice Dad , but I 'm sure they 'll find out soon .",3,4,ones,one,Plur
en,email-enronsent07_01-0072,"""In our view, we did not believe we changed or made worse the financial situation.",""" In our view , we did not believe we changed or made worse the financial situation .",3,4,view,view,Sing
en,email-enronsent41_01-0029,Website Short Description of Product Type: US HR StlPlt Phy,Website Short Description of Product Type : US HR Stl Plt Phy,4,5,Product,product,Sing
en,answers-20090605110235AAALlCt_ans-0004,"The centre of the falls is known locally as ‘Garganta Del Diablo’ (The Devil’s Throat), where the huge volume of water sends a constant mist of spray into the air.","The centre of the falls is known locally as ‘ Garganta Del Diablo ’ ( The Devil ’s Throat ) , where the huge volume of water sends a constant mist of spray into the air .",1,2,centre,centre,Sing
en,reviews-007403-0003,I am a licensed mental health counselor and I work with variety of mental health problems.,I am a licensed mental health counselor and I work with variety of mental health problems .,6,7,counselor,counselor,Sing
en,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0083,"Mr. ARCHIBALD: I mean, at that time, I was 28; George would have been 25 or 26.","Mr. ARCHIBALD : I mean , at that time , I was 28 ; George would have been 25 or 26 .",8,9,time,time,Sing
en,newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0220,53 - Percentage of Canadian young adults who don't know the population of the United States.,53 - Percentage of Canadian young adults who do n't know the population of the United States .,6,7,adults,adult,Plur
en,email-enronsent41_01-0066,We will meet in the near future to discuss the issues surrounding division and trade name setups in Global Counterparty.,We will meet in the near future to discuss the issues surrounding division and trade name setups in Global Counterparty .,12,13,division,division,Sing
en,email-enronsent33_01-0167,WHAT: Copies of the filed complaint will be made available at that time.,WHAT : Copies of the filed complaint will be made available at that time .,2,3,Copies,copy,Plur
en,email-enronsent39_01-0057,"Those who show up and complain, but are not participating in the working groups and the daily Ercot phone calls, board meetings, etc. are ignored.","Those who show up and complain , but are not participating in the working groups and the daily Ercot phone calls , board meetings , etc. are ignored .",25,26,etc.,etc.,Plur
en,reviews-162422-0014,I finally alerted him to his rudeness.,I finally alerted him to his rudeness .,6,7,rudeness,rudeness,Sing
en,answers-20111108104724AAuBUR7_ans-0031,I will be calling my vet and chiro about him.,I will be calling my vet and chiro about him .,7,8,chiro,chiro,Sing
en,email-enronsent39_01-0037,<Embedded Picture (Device Independent Bitmap)>,< Embedded Picture ( Device Independent Bitmap ) >,4,5,Device,device,Sing
en,reviews-086839-0008,"When we expressed our discontent to the manager (that's right, the manager), did he say he would return some money, did he say he would give a discount on our next visit, did he just say ""I'm sorry"".","When we expressed our discontent to the manager ( that 's right , the manager ) , did he say he would return some money , did he say he would give a discount on our next visit , did he just say "" I 'm sorry "" .",33,34,discount,discount,Sing
en,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0194,"Yeah, I think Jeff wrote on one of his posts here in the past several months: ""To hell with death"".","Yeah , I think Jeff wrote on one of his posts here in the past several months : "" To hell with death "" .",10,11,posts,post,Plur
en,answers-20111108075853AAUIKRQ_ans-0002,"hi everyone....just hav my hands on my new OLYMPUS X940 digital camera..wel,i always wanted 2 hav one by sony..but anyways,ended up having olympus X940 from my dad.......does any1 already has it?","hi everyone .... just hav my hands on my new OLYMPUS X940 digital camera .. wel , i always wanted 2 hav one by sony .. but anyways , ended up having olympus X940 from my dad ....... does any1 already has it ?",6,7,hands,hand,Plur
en,email-enronsent36_02-0077,"The Foreign Currency Amount shall equal the Base Currency Amount, multiplied by the daily London Metal Exchange (LME) fixing rate as published by Reuters on page MTLE on the date of the transaction, modified by the price submitted by the Counterparty via the Website.","The Foreign Currency Amount shall equal the Base Currency Amount , multiplied by the daily London Metal Exchange ( LME ) fixing rate as published by Reuters on page MTLE on the date of the transaction , modified by the price submitted by the Counterparty via the Website .",44,45,Counterparty,counterparty,Sing
en,reviews-295491-0007,"Overall, Joe is a happy camper who has found a great spot.","Overall , Joe is a happy camper who has found a great spot .",12,13,spot,spot,Sing
en,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0209,"In order to win, it is necessary to first eliminate the terrorist regimes, so that no Government in the world will serve as a safe haven for these people.","In order to win , it is necessary to first eliminate the terrorist regimes , so that no Government in the world will serve as a safe haven for these people .",18,19,Government,government,Sing
en,newsgroup-groups.google.com_alt.animals_434fe80fb3577e8e_ENG_20031011_200300-0019,"Antichrist John Lennon followed the Devil's strategy writing lyrics such as ""God is a concept by which we measure our pain...I don't believe in Jesus, etc., etc.,"" (God) and ""and no religions too..."" (Imagine).","Antichrist John Lennon followed the Devil 's strategy writing lyrics such as "" God is a concept by which we measure our pain ... I do n't believe in Jesus , etc. , etc. , "" ( God ) and "" and no religions too ... "" ( Imagine ) .",31,32,etc.,etc.,Plur
en,weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0115,"As agent Van Harp, then head of the Amerithrax investigation said, the information coming from Khalid Mohammed is classified with the authorities releasing only certain limited information.","As agent Van Harp , then head of the Amerithrax investigation said , the information coming from Khalid Mohammed is classified with the authorities releasing only certain limited information .",1,2,agent,agent,Sing
en,reviews-133981-0006,I think 90 percent of the tenants are smokers!,I think 90 percent of the tenants are smokers !,6,7,tenants,tenant,Plur
en,newsgroup-groups.google.com_alt.animals_0e65f540816d780c_ENG_20041116_124800-0047,"On the other hand, the report thinks the news might not be so bad for the North Atlantic fisheries.","On the other hand , the report thinks the news might not be so bad for the North Atlantic fisheries .",3,4,hand,hand,Sing
en,newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0092,$120b - Amount the war and its aftermath are projected to cost for the 2004 fiscal year.,$ 120 b - Amount the war and its aftermath are projected to cost for the 2004 fiscal year .,9,10,aftermath,aftermath,Sing
en,newsgroup-groups.google.com_eHolistic_2dd76f31ceb6bfe8_ENG_20050513_224200-0040,BENEFIT AUCTION & RAFFLE FOR ABBY FREEMAN,BENEFIT AUCTION & RAFFLE FOR ABBY FREEMAN,0,1,BENEFIT,benefit,Sing
en,newsgroup-groups.google.com_alt.animals.bear_395d998336aec581_ENG_20031225_105300-0019,"I was beside the bear's head and I stabbed it with an upper cut below the jaw in the neck a couple of times.""","I was beside the bear 's head and I stabbed it with an upper cut below the jaw in the neck a couple of times . """,22,23,couple,couple,Sing
en,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0035,"The inability to foresee in advance the assassination attempt on the pro-India political leader and former Bangladeshi prime minister Sheikh Hasina Wazed last August 21 at a political rally in Dhaka, and the recent ""coup"" by Nepalese King Gyanendra dismissing his government and imposing a virtual absolute monarchy, are glaring examples of intelligence failure.","The inability to foresee in advance the assassination attempt on the pro-India political leader and former Bangladeshi prime minister Sheikh Hasina Wazed last August 21 at a political rally in Dhaka , and the recent "" coup "" by Nepalese King Gyanendra dismissing his government and imposing a virtual absolute monarchy , are glaring examples of intelligence failure .",13,14,leader,leader,Sing
en,answers-20111108101827AALT6Zq_ans-0020,"Your application is still evaluated on a number of criteria, not all of them as ""cast in steel"" as the points.","Your application is still evaluated on a number of criteria , not all of them as "" cast in steel "" as the points .",9,10,criteria,criterion,Plur
en,email-enronsent07_01-0030,"The subpoenas will force those involved, including Winter, to provide sworn testimony about the events to the committee, and to turn over e-mails, personal calendars and memos.","The subpoenas will force those involved , including Winter , to provide sworn testimony about the events to the committee , and to turn over e-mails , personal calendars and memos .",1,2,subpoenas,subpoena,Plur
en,answers-20111108101816AAdTp9M_ans-0002,"I found a poor little mouse walking around in my friends house, and since I was able to catch it very easily (normally mice move at the speed of light), and since it was acting unresponsive, I thought it was infected with mouse poison, since my friend uses it.","I found a poor little mouse walking around in my friend s house , and since I was able to catch it very easily ( normally mice move at the speed of light ) , and since it was acting unresponsive , I thought it was infected with mouse poison , since my friend uses it .",10,11,friend,friend,Sing
en,reviews-319816-0005,"Once inside, I had to stand around for at least 10 more minutes before--FINALLY-- a technician got to me.","Once inside , I had to stand around for at least 10 more minutes before -- FINALLY -- a technician got to me .",13,14,minutes,minute,Plur
en,answers-20111107211742AAHZaPe_ans-0043,And all that time you're overseas you'll be racking up interest.,And all that time you 're overseas you 'll be racking up interest .,3,4,time,time,Sing
en,answers-20111108111312AAq4ETn_ans-0019,Ok so i spoke to the vet and he said the give him white rice and boiled chicken but only a little at a time.,Ok so i spoke to the vet and he said the give him white rice and boiled chicken but only a little at a time .,6,7,vet,vet,Sing
en,answers-20111104175256AAL21Ha_ans-0019,There has always been a Mexican-American cultural influence since Calif was owned by Mexico.,There has always been a Mexican - American cultural influence since Calif was owned by Mexico .,9,10,influence,influence,Sing
en,reviews-043020-0001,Quick to take money but not quick to fix a problem!,Quick to take money but not quick to fix a problem !,10,11,problem,problem,Sing
en,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".","There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",11,12,spree,spree,Sing
en,newsgroup-groups.google.com_Meditation20052_06390a5f75b2e1f2_ENG_20050316_091700-0059,"You can go further and feel that your unit consciousness, a dot in the Infinite Consciousness, is merging with Infinity.","You can go further and feel that your unit consciousness , a dot in the Infinite Consciousness , is merging with Infinity .",21,22,Infinity,infinity,Sing
en,weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0220,Media reports are a poor approximation of reality because of the lack of good sources.,Media reports are a poor approximation of reality because of the lack of good sources .,1,2,reports,report,Plur
en,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0035,However US military officers say regular army officers - many of them Pashtun - leading units of the Frontier Corps who are on the border remain deeply sympathetic to the Taliban and the mullahs of the JUI.,However US military officers say regular army officers - many of them Pashtun - leading units of the Frontier Corps who are on the border remain deeply sympathetic to the Taliban and the mullahs of the JUI .,7,8,officers,officer,Plur
en,newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0087,"By dumping some portion of their reserves, these countries could put the dollar under intense pressure and send U.S. interest rates skyrocketing.","By dumping some portion of their reserves , these countries could put the dollar under intense pressure and send U.S. interest rates skyrocketing .",21,22,rates,rate,Plur
