language,sent_id,sentence,tokens,word_idx,token_id,form,lemma,number
fi,h1043.19,Täällä pitäisi olla kahvia,Täällä pitäisi olla kahvia,3,4,kahvia,kahvi,Sing
fi,t047.3,Myöhästymiset ovat kuitenkin mahdollisia.,Myöhästymiset ovat kuitenkin mahdollisia .,0,1,Myöhästymiset,myöhästyminen,Plur
fi,s306.32,"Lisäksi niiden asema taivaalla oli tähän aikaan vuodesta vähän kenkkumainen, ne tulivat näkyviin aamuyöstä.","Lisäksi niiden asema taivaalla oli tähän aikaan vuodesta vähän kenkkumainen , ne tulivat näkyviin aamuyöstä .",3,4,taivaalla,taivas,Sing
fi,u015.17,Tutkinnon erityispiirteitä ovat muun muassa työelämäläheisyys ja työelämän kehittämisnäkökulma.,Tutkinnon erityispiirteitä ovat muun muassa työelämäläheisyys ja työelämän kehittämisnäkökulma .,1,2,erityispiirteitä,erityis#piirre,Plur
fi,s107.41,"Tänä aikana hissiä käytti 171 henkilöä, joista 14 ilmoitti että heillä on varaus, ja viisi kysyi tarjoilua.","Tänä aikana hissiä käytti 171 henkilöä , joista 14 ilmoitti että heillä on varaus , ja viisi kysyi tarjoilua .",1,2,aikana,aika,Sing
fi,u048.2,Turun yliopiston kaksi monitieteistä tutkijakollegiumia kokoontuivat keskiviikkona 10.3. yhteiseen seminaariin Caloniassa.,Turun yliopiston kaksi monitieteistä tutkijakollegiumia kokoontuivat keskiviikkona 10.3. yhteiseen seminaariin Caloniassa .,6,7,keskiviikkona,keski#viikko,Sing
fi,wn015.6,Seminaarissa julkaistava artikkelikokoelma käsittelee neuvostomiehityksen vaikutuksia virolaisten elämään.,Seminaarissa julkaistava artikkelikokoelma käsittelee neuvostomiehityksen vaikutuksia virolaisten elämään .,6,7,virolaisten,virolainen,Plur
fi,s301.7,"Se analysoi tekstin kirjain kerrallaan, ja tietää useimmat alkoholin vaikutuksesta johtuvat kirjoitusvirhetyypit.","Se analysoi tekstin kirjain kerrallaan , ja tietää useimmat alkoholin vaikutuksesta johtuvat kirjoitusvirhetyypit .",10,11,vaikutuksesta,vaikutus,Sing
fi,w092.9,"Näitä laitteita oli miinalaivojen Ruotsinsalmi ja Riilahti lisäksi vain Turussa lisenssillä rakennetuissa Taisto -luokan moottoritorpedoveneissä, italialaisilta ostetuista Jymy- ja Hurja -veneistä ne puuttuivat.","Näitä laitteita oli miinalaivojen Ruotsinsalmi ja Riilahti lisäksi vain Turussa lisenssillä rakennetuissa Taisto -luokan moottoritorpedoveneissä , italialaisilta ostetuista Jymy- ja Hurja -veneistä ne puuttuivat .",3,4,miinalaivojen,miina#laiva,Plur
fi,b202.31,Olen käynyt SATSilla hieman normaalia useammin viime aikoina ja sehän näkyy sitten ensimmäisenä rintavarustuksessa.,Olen käynyt SATSilla hieman normaalia useammin viime aikoina ja sehän näkyy sitten ensimmäisenä rintavarustuksessa .,7,8,aikoina,aika,Plur
fi,h1066.11,Kunta-alan henkilöstö on pienentynyt kuluneen kolmen vuoden aikana.,Kunta-alan henkilöstö on pienentynyt kuluneen kolmen vuoden aikana .,1,2,henkilöstö,henkilöstö,Sing
fi,u034.26,"Myös viisumiasioiden hyvin hoitaminen on tärkeää, sillä venäläiset matkustelevat paljon Suomessa ja Euroopassa, kuluttavat rahaa ja ostavat kiinteistöjä.","Myös viisumiasioiden hyvin hoitaminen on tärkeää , sillä venäläiset matkustelevat paljon Suomessa ja Euroopassa , kuluttavat rahaa ja ostavat kiinteistöjä .",1,2,viisumiasioiden,viisumi#asia,Plur
fi,f702.67,"Minibaari, jossa puolisoni riemuksi rusinoita.","Minibaari , jossa puolisoni riemuksi rusinoita .",4,5,riemuksi,riemu,Sing
fi,f701.23,"Tänään kuitenkaan ei uusia asukkaita ollut ilmaantunut, niitä tippui tähän vuodenaikaan harvakseen.","Tänään kuitenkaan ei uusia asukkaita ollut ilmaantunut , niitä tippui tähän vuodenaikaan harvakseen .",4,5,asukkaita,asukas,Plur
fi,w010.5,"Saaria on yhteensä kahdeksan ja niiden yhteispinta-ala on 6,3 neliökilometriä.","Saaria on yhteensä kahdeksan ja niiden yhteispinta-ala on 6,3 neliökilometriä .",0,1,Saaria,saari,Plur
fi,u004.22,"Kuninkaantien muusikoiden taiteellinen johtaja on kapellimestari Markus Yli-Jokipii, joka perusti orkesterin yhdessä intendentti Sami Palsion kanssa syksyllä 2008.","Kuninkaantien muusikoiden taiteellinen johtaja on kapellimestari Markus Yli-Jokipii , joka perusti orkesterin yhdessä intendentti Sami Palsion kanssa syksyllä 2008 .",1,2,muusikoiden,muusikko,Plur
fi,t014.45,Yhtiö on keskittynyt henkilöstöhallinnon ja palkanlaskennan palveluihin.,Yhtiö on keskittynyt henkilöstöhallinnon ja palkanlaskennan palveluihin .,6,7,palveluihin,palvelu,Plur
fi,w005.6,Litium reagoi herkästi jo alhaisessa lämpötilassa hapen ja typen kanssa.,Litium reagoi herkästi jo alhaisessa lämpötilassa hapen ja typen kanssa .,8,9,typen,typpi,Sing
fi,f201.12,"Lumpeiden asuttama utuinen lampi aukeaa hänen edessään ja näky on niin tuttu, että hän aavistaa rantaviivan auringonpolttamien kivien lämmön ennen kuin koskee niitä.","Lumpeiden asuttama utuinen lampi aukeaa hänen edessään ja näky on niin tuttu , että hän aavistaa rantaviivan auringonpolttamien kivien lämmön ennen kuin koskee niitä .",8,9,näky,näky,Sing
fi,b203.37,Niiden pinta on aitoa nahkaa ja väritys juuri sopivaa sävyä.,Niiden pinta on aitoa nahkaa ja väritys juuri sopivaa sävyä .,9,10,sävyä,sävy,Sing
fi,e1033.2,"- (PT) Euroopan parlamentin hyväksymässä päätöslauselmassa otetaan esiin huolenaiheita, joista olemme samaa mieltä, ja esitetään ehdotuksia, joita kannatamme, vaikka olemmekin joistakin kohdista eri mieltä.","- ( PT ) Euroopan parlamentin hyväksymässä päätöslauselmassa otetaan esiin huolenaiheita , joista olemme samaa mieltä , ja esitetään ehdotuksia , joita kannatamme , vaikka olemmekin joistakin kohdista eri mieltä .",19,20,ehdotuksia,ehdotus,Plur
fi,w065.21,Ihmiskauppa lisättiin Suomen rikoslakiin kesällä 2004.,Ihmiskauppa lisättiin Suomen rikoslakiin kesällä 2004 .,0,1,Ihmiskauppa,ihmis#kauppa,Sing
fi,f701.67,"Toisaalta matkaseura aina kävi kyseeseen, joten hetken lintua taas tuijoteltuaan mies kääntyi kannoillaan kohti kotitaloaan, eikä pahoitellut sen enempää kuullessaan räpyttelyn ja pomppimisen jatkuvan taustalla.","Toisaalta matkaseura aina kävi kyseeseen , joten hetken lintua taas tuijoteltuaan mies kääntyi kannoillaan kohti kotitaloaan , eikä pahoitellut sen enempää kuullessaan räpyttelyn ja pomppimisen jatkuvan taustalla .",26,27,taustalla,tausta,Sing
fi,wn052.5,"Kansanedustaja Mika Lintilän johtama työryhmä perustelee kaikkien kotitalouksien maksamaa maksua sillä, että YLEn palvelut tavoittavat käytännössä kaikki suomalaiset.","Kansanedustaja Mika Lintilän johtama työryhmä perustelee kaikkien kotitalouksien maksamaa maksua sillä , että YLEn palvelut tavoittavat käytännössä kaikki suomalaiset .",14,15,palvelut,palvelu,Plur
fi,t009.3,"Kultaesineitä ostavat liikkeet maksavat kuluttajalle kullasta hinnan, joka ei ole lähelläkään maailmanmarkkinahintaa, kertoo Savon Sanomat.","Kultaesineitä ostavat liikkeet maksavat kuluttajalle kullasta hinnan , joka ei ole lähelläkään maailmanmarkkinahintaa , kertoo Savon Sanomat .",16,17,Sanomat,sanoma,Plur
fi,s108.34,Viimeisessä osuudessa piti heittää palloilla jotain mörköä.,Viimeisessä osuudessa piti heittää palloilla jotain mörköä .,4,5,palloilla,pallo,Plur
fi,fB02.36,"Hyssyttelin vaan sitä, ja sanoin että etkö sä huomaa että teillä on vieras lehmä pihassa, ja että toisin ku luullaan, ni myös lehmät ärsyyntyy.","Hyssyttelin vaan sitä , ja sanoin että etkö sä huomaa että teillä on vieras lehmä pihassa , ja että toisin ku luullaan , ni myös lehmät ärsyyntyy .",25,26,lehmät,lehmä,Plur
fi,u004.25,"– Monet johtavat elintarviketehtailijat, kuten vuorineuvos Heikki Huhtamäki, ovat tukeneet voimakkaasti kansallista kulttuuria ja ajatelleet tuotantotoiminnan olevan ensi sijassa yhteiskunnan palvelemista, totesi Teräs.","– Monet johtavat elintarviketehtailijat , kuten vuorineuvos Heikki Huhtamäki , ovat tukeneet voimakkaasti kansallista kulttuuria ja ajatelleet tuotantotoiminnan olevan ensi sijassa yhteiskunnan palvelemista , totesi Teräs .",14,15,kulttuuria,kulttuuri,Sing
fi,b110.13,Voitelin pari leipää ja söin aamiaisen vuoteessa takkatulen loisteessa lukien mielenkiintoista kirjaa suomalaisten talonpoikaislevottomuuksista 1050-luvulla.,Voitelin pari leipää ja söin aamiaisen vuoteessa takkatulen loisteessa lukien mielenkiintoista kirjaa suomalaisten talonpoikaislevottomuuksista 1050-luvulla .,11,12,kirjaa,kirja,Sing
fi,j022.22,"(20) Vuoden 1994 polkumyyntisopimukseen ei sisälly määräyksiä polkumyyntitoimenpiteiden kiertämisestä, vaikka erillisessä GATTin ministeripäätöksessä tunnustetaan kiertäminen ongelmaksi ja on siirretty GATTin polkumyyntikomitean ratkaistavaksi; koska monenväliset neuvottelut ovat tähän asti epäonnistuneet ja GATTin polkumyyntikomitean käsittelyn päättymistä odotettaessa on tarpeen säätää uudet säännökset yhteisölainsäädäntöön sellaisten käytäntöjen, erityisesti yhteisössä tai kolmannessa maassa tapahtuvan pelkän tavaroiden kokoamisen vastustamiseksi, joiden pääasiallisena tavoitteena on polkumyyntitoimenpiteiden kiertäminen;","( 20 ) Vuoden 1994 polkumyyntisopimukseen ei sisälly määräyksiä polkumyyntitoimenpiteiden kiertämisestä , vaikka erillisessä GATTin ministeripäätöksessä tunnustetaan kiertäminen ongelmaksi ja on siirretty GATTin polkumyyntikomitean ratkaistavaksi ; koska monenväliset neuvottelut ovat tähän asti epäonnistuneet ja GATTin polkumyyntikomitean käsittelyn päättymistä odotettaessa on tarpeen säätää uudet säännökset yhteisölainsäädäntöön sellaisten käytäntöjen , erityisesti yhteisössä tai kolmannessa maassa tapahtuvan pelkän tavaroiden kokoamisen vastustamiseksi , joiden pääasiallisena tavoitteena on polkumyyntitoimenpiteiden kiertäminen ;",9,10,polkumyyntitoimenpiteiden,polku#myynti#toimen#pide,Plur
fi,t050.34,"EU:n talousjärjestelmä joutui ensimmäistä kertaa kovaan testiin, joka paljasti järjestelmän virheet.","EU:n talousjärjestelmä joutui ensimmäistä kertaa kovaan testiin , joka paljasti järjestelmän virheet .",1,2,talousjärjestelmä,talous#järjestelmä,Sing
fi,f701.67,"Toisaalta matkaseura aina kävi kyseeseen, joten hetken lintua taas tuijoteltuaan mies kääntyi kannoillaan kohti kotitaloaan, eikä pahoitellut sen enempää kuullessaan räpyttelyn ja pomppimisen jatkuvan taustalla.","Toisaalta matkaseura aina kävi kyseeseen , joten hetken lintua taas tuijoteltuaan mies kääntyi kannoillaan kohti kotitaloaan , eikä pahoitellut sen enempää kuullessaan räpyttelyn ja pomppimisen jatkuvan taustalla .",13,14,kannoillaan,kanta,Plur
fi,u012.2,Suomen Akatemian toimikunnat valitsivat uudet akatemiatutkijat seuraavaksi viisivuotiskaudeksi.,Suomen Akatemian toimikunnat valitsivat uudet akatemiatutkijat seuraavaksi viisivuotiskaudeksi .,2,3,toimikunnat,toimi#kunta,Plur
fi,w165.5,Albumi ylsi Billboard-listan sijalle neljä julkaisuviikollaan.,Albumi ylsi Billboard-listan sijalle neljä julkaisuviikollaan .,0,1,Albumi,albumi,Sing
fi,w126.24,"Noin vuonna 113 Mithridates palasi Sinopeen, kaappasi vallan ja vangitsi äitinsä Laodiken.","Noin vuonna 113 Mithridates palasi Sinopeen , kaappasi vallan ja vangitsi äitinsä Laodiken .",1,2,vuonna,vuosi,Sing
fi,w149.3,"Åsbrink on kirjoittanut teoksen Ludvig Nobel – ""Petroleum har en lysande framtid"" Nobelin suvun öljy-yhtiön toiminnasta Azerbaidžanissa keisariajan Venäjällä.","Åsbrink on kirjoittanut teoksen Ludvig Nobel – "" Petroleum har en lysande framtid "" Nobelin suvun öljy-yhtiön toiminnasta Azerbaidžanissa keisariajan Venäjällä .",19,20,keisariajan,keisari#aika,Sing
fi,w053.6,"Hietasen saarelle perusti sahan viipurilainen yritys Paul Wahl & Co. vuonna 1874, joka siirtyi Enso-Gutzeitin omistukseen vuonna 1909.","Hietasen saarelle perusti sahan viipurilainen yritys Paul Wahl & Co. vuonna 1874 , joka siirtyi Enso-Gutzeitin omistukseen vuonna 1909 .",16,17,omistukseen,omistus,Sing
fi,e1063.3,"Jäsen Langen taas kertoi, että käytettävissä olevat keinot eivät riitä siihen, että 12 %:n taso saavutetaan tuotannon osalta, ja jälleen kerran hyväksymme tämän mietinnön näistä huomautuksista huolimatta.","Jäsen Langen taas kertoi , että käytettävissä olevat keinot eivät riitä siihen , että 12 %:n taso saavutetaan tuotannon osalta , ja jälleen kerran hyväksymme tämän mietinnön näistä huomautuksista huolimatta .",19,20,osalta,osa,Sing
fi,w121.21,"Isännöintipalkkion suuruuteen ei ole suositusta, vaan palkkio ja usein myös tehtävät voidaan sopia vapaasti.","Isännöintipalkkion suuruuteen ei ole suositusta , vaan palkkio ja usein myös tehtävät voidaan sopia vapaasti .",11,12,tehtävät,tehtävä,Plur
fi,wn017.14,Kolumbian konservatiivipresidentti Álvaro Uribe ja Nicaraguan vasemmistojohtaja Daniel Ortega ovat kumpikin tahoillaan yrittäneet poistaa esteitä uudelleen ehdolle asettumisen tieltä.,Kolumbian konservatiivipresidentti Álvaro Uribe ja Nicaraguan vasemmistojohtaja Daniel Ortega ovat kumpikin tahoillaan yrittäneet poistaa esteitä uudelleen ehdolle asettumisen tieltä .,18,19,tieltä,tie,Sing
fi,s108.53,Turku olisi kuulemma voittanut tämän lajin ilman tuomarien järjettömiä tuomioita.,Turku olisi kuulemma voittanut tämän lajin ilman tuomarien järjettömiä tuomioita .,9,10,tuomioita,tuomio,Plur
fi,j011.2,Myönnetyt toimiluvat,Myönnetyt toimiluvat,1,2,toimiluvat,toimi#lupa,Plur
fi,u045.2,Turun yliopiston kasvitieteellinen puutarha on saanut merkittävänä testamenttilahjoituksena kesämökkikiinteistön Kiikalasta.,Turun yliopiston kasvitieteellinen puutarha on saanut merkittävänä testamenttilahjoituksena kesämökkikiinteistön Kiikalasta .,3,4,puutarha,puu#tarha,Sing
fi,wn090.7,Kuitenkin vielä joulukuussa 2007 tehdyn kyselyn perusteella Clinton olisi ollut selvässä johdossa New Hampshiren osavaltiossa.,Kuitenkin vielä joulukuussa 2007 tehdyn kyselyn perusteella Clinton olisi ollut selvässä johdossa New Hampshiren osavaltiossa .,14,15,osavaltiossa,osa#valtio,Sing
